"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-03-05","2019","03","05","","-7.4","","-21.2","","-14.3","","32.3","","0.0","","","","","","0.0","","3","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-03-06","2019","03","06","","-12.4","","-24.7","","-18.6","","36.6","","0.0","","","","","","0.0","","3","","17","","42",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-03-07","2019","03","07","","-9.2","","-17.3","","-13.2","","31.2","","0.0","","","","","","1.6","","3","","16","","31",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-03-08","2019","03","08","","-4.9","","-13.9","","-9.4","","27.4","","0.0","","","","","","0.6","","5","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-03-09","2019","03","09","","-3.8","","-15.0","","-9.4","","27.4","","0.0","","","","","","0.0","","4","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-03-10","2019","03","10","","1.8","","-16.2","","-7.2","","25.2","","0.0","","","","","","0.0","","3","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-03-11","2019","03","11","","9.7","","-4.0","","2.8","","15.2","","0.0","","","","","","0.0","","6","","26","","60",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-03-12","2019","03","12","","4.6","","-2.4","","1.1","","16.9","","0.0","","","","","","1.2","","3","","28","","41",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-03-13","2019","03","13","","0.9","","-6.5","","-2.8","","20.8","","0.0","","","","","","0.0","","3","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-03-14","2019","03","14","","1.8","","-10.6","","-4.4","","22.4","","0.0","","","","","","0.0","","2","","29","","45",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-03-15","2019","03","15","","3.2","","-3.8","","-0.3","","18.3","","0.0","","","","","","0.0","","2","","29","","46",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-03-16","2019","03","16","","4.4","","-9.5","","-2.5","","20.5","","0.0","","","","","","0.0","","1","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-03-17","2019","03","17","","10.5","","-7.0","","1.7","","16.3","","0.0","","","","","","0.0","","1","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-03-18","2019","03","18","","10.9","","-2.3","","4.3","","13.7","","0.0","","","","","","0.0","","1","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-03-19","2019","03","19","","","M","","M","","M","","M","","M","","","","","","M","1","","","M","","M"
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-03-20","2019","03","20","","16.5","","-2.5","","7.0","","11.0","","0.0","","","","","","0.0","","0","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-03-21","2019","03","21","","13.0","","-2.6","","5.2","","12.8","","0.0","","","","","","0.0","","1","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-03-22","2019","03","22","","15.0","","-3.7","","5.7","","12.3","","0.0","","","","","","0.0","","","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-03-23","2019","03","23","","10.6","","-3.4","","3.6","","14.4","","0.0","","","","","","0.0","","","","36","","31",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-03-24","2019","03","24","","1.5","","-1.0","","0.3","","17.7","","0.0","","","","","","0.0","","","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-03-25","2019","03","25","","9.7","","-1.9","","3.9","","14.1","","0.0","","","","","","0.0","","1","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-03-26","2019","03","26","","13.4","","-0.8","","6.3","","11.7","","0.0","","","","","","0.0","","1","","33","","61",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-03-27","2019","03","27","","5.5","","-2.8","","1.4","","16.6","","0.0","","","","","","1.9","","4","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-03-28","2019","03","28","","7.9","","-3.9","","2.0","","16.0","","0.0","","","","","","0.0","","1","","17","","35",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-03-29","2019","03","29","","9.8","","-4.2","","2.8","","15.2","","0.0","","","","","","0.0","","1","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-03-30","2019","03","30","","12.8","","-2.9","","5.0","","13.0","","0.0","","","","","","0.0","","0","","1","","46",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-03-31","2019","03","31","","9.9","","0.3","","5.1","","12.9","","0.0","","","","","","0.0","","1","","13","","40",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-04-01","2019","04","01","","8.7","","-0.5","","4.1","","13.9","","0.0","","","","","","0.0","","1","","33","","36",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-04-02","2019","04","02","","9.7","","-4.9","","2.4","","15.6","","0.0","","","","","","0.0","","0","","13","","41",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-04-03","2019","04","03","","12.6","","-4.6","","4.0","","14.0","","0.0","","","","","","0.0","","0","","11","","42",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-04-04","2019","04","04","","12.1","","1.0","","6.6","","11.4","","0.0","","","","","","0.0","","0","","4","","40",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-04-05","2019","04","05","","10.3","","-2.1","","4.1","","13.9","","0.0","","","","","","0.0","","1","","15","","38",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-04-06","2019","04","06","","13.3","","-0.6","","6.4","","11.6","","0.0","","","","","","0.0","","0","","27","","68",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-04-07","2019","04","07","","13.1","","-0.5","","6.3","","11.7","","0.0","","","","","","0.0","","0","","29","","44",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-04-08","2019","04","08","","13.0","","-2.7","","5.1","","12.9","","0.0","","","","","","0.0","","0","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-04-09","2019","04","09","","13.2","","-5.2","","4.0","","14.0","","0.0","","","","","","0.0","","0","","17","","43",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-04-10","2019","04","10","","12.1","","1.4","","6.8","","11.2","","0.0","","","","","","0.0","","0","","16","","51",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-04-11","2019","04","11","","5.4","","0.3","","2.9","","15.1","","0.0","","","","","","5.9","","0","","35","","39",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-04-12","2019","04","12","","7.9","","-1.5","","3.2","","14.8","","0.0","","","","","","0.3","","2","","36","","32",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-04-13","2019","04","13","","11.6","","-3.4","","4.1","","13.9","","0.0","","","","","","0.0","","0","","19","","36",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-04-14","2019","04","14","","9.7","","-1.1","","4.3","","13.7","","0.0","","","","","","0.0","","0","","33","","50",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-04-15","2019","04","15","","9.7","","-4.8","","2.5","","15.5","","0.0","","","","","","0.0","","0","","20","","38",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-04-16","2019","04","16","","12.3","","-6.9","","2.7","","15.3","","0.0","","","","","","0.0","","","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-04-17","2019","04","17","","15.1","","0.4","","7.7","","10.3","","0.0","","","","","","0.0","","","","28","","55",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-04-18","2019","04","18","","20.4","","-0.4","","10.0","","8.0","","0.0","","","","","","0.0","","","","30","","38",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-04-19","2019","04","19","","11.0","","2.3","","6.6","","11.4","","0.0","","","","","","0.0","","","","1","","46",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-04-20","2019","04","20","","10.2","","-0.2","","5.0","","13.0","","0.0","","","","","","0.0","","0","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-04-21","2019","04","21","","16.5","","-1.0","","7.7","","10.3","","0.0","","","","","","0.0","","","","16","","34",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-04-22","2019","04","22","","20.1","","-2.3","","8.9","","9.1","","0.0","","","","","","0.0","","","","26","","61",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-04-23","2019","04","23","","18.1","","1.9","","10.0","","8.0","","0.0","","","","","","0.0","","","","29","","51",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-04-24","2019","04","24","","14.5","","-0.3","","7.1","","10.9","","0.0","","","","","","0.0","","","","2","","57",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-04-25","2019","04","25","","12.6","","-3.5","","4.5","","13.5","","0.0","","","","","","0.0","","","","20","","36",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-04-26","2019","04","26","","9.7","","-0.6","","4.5","","13.5","","0.0","","","","","","0.2","","","","6","","37",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-04-27","2019","04","27","","4.8","","-2.6","","1.1","","16.9","","0.0","","","","","","5.9","","","","1","","80",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-04-28","2019","04","28","","2.6","","-5.1","","-1.3","","19.3","","0.0","","","","","","1.4","","3","","35","","45",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-04-29","2019","04","29","","5.1","","-6.3","","-0.6","","18.6","","0.0","","","","","","0.0","","","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-04-30","2019","04","30","","3.5","","-5.9","","-1.2","","19.2","","0.0","","","","","","0.0","","","","34","","51",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-05-01","2019","05","01","","7.1","","-2.7","","2.2","","15.8","","0.0","","","","","","0.0","","","","35","","31",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-05-02","2019","05","02","","10.9","","-0.6","","5.2","","12.8","","0.0","","","","","","3.8","","","","1","","49",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-05-03","2019","05","03","","8.0","","-0.6","","3.7","","14.3","","0.0","","","","","","0.0","","0","","34","","41",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-05-04","2019","05","04","","-0.2","","-2.8","","-1.5","","19.5","","0.0","","","","","","2.7","","","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-05-05","2019","05","05","","2.8","","-3.7","","-0.5","","18.5","","0.0","","","","","","1.1","","3","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-05-06","2019","05","06","","12.0","","-3.7","","4.2","","13.8","","0.0","","","","","","0.0","","","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-05-07","2019","05","07","","10.9","","0.5","","5.7","","12.3","","0.0","","","","","","5.2","","","","35","","47",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-05-08","2019","05","08","","12.9","","1.4","","7.1","","10.9","","0.0","","","","","","1.7","","","","1","","42",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-05-09","2019","05","09","","17.6","","1.7","","9.7","","8.3","","0.0","","","","","","0.6","","","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-05-10","2019","05","10","","19.2","","4.9","","12.0","","6.0","","0.0","","","","","","0.0","","","","33","","59",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-05-11","2019","05","11","","23.7","","0.4","","12.0","","6.0","","0.0","","","","","","0.0","","","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-05-12","2019","05","12","","21.3","","10.7","","16.0","","2.0","","0.0","","","","","","0.0","","","","36","","40",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-05-13","2019","05","13","","19.3","","5.4","","12.3","","5.7","","0.0","","","","","","0.0","","","","1","","40",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-05-14","2019","05","14","","20.0","","8.2","","14.1","","3.9","","0.0","","","","","","0.4","","","","18","","34",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-05-15","2019","05","15","","17.4","","7.8","","12.6","","5.4","","0.0","","","","","","0.2","","","","2","","44",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-05-16","2019","05","16","","8.3","","5.5","","6.9","","11.1","","0.0","","","","","","0.2","","","","12","","38",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-05-17","2019","05","17","","7.3","","2.5","","4.9","","13.1","","0.0","","","","","","8.4","","","","14","","37",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-05-18","2019","05","18","","6.3","","1.9","","4.1","","13.9","","0.0","","","","","","1.8","","","","15","","44",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-05-19","2019","05","19","","11.7","","0.8","","6.2","","11.8","","0.0","","","","","","0.0","","","","18","","36",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-05-20","2019","05","20","","9.2","","-3.1","","3.1","","14.9","","0.0","","","","","","0.0","","","","17","","39",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-05-21","2019","05","21","","7.4","","3.7","","5.6","","12.4","","0.0","","","","","","1.1","","","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-05-22","2019","05","22","","18.1","","2.5","","10.3","","7.7","","0.0","","","","","","2.2","","","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-05-23","2019","05","23","","21.0","","4.4","","12.7","","5.3","","0.0","","","","","","0.0","","","","34","","40",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-05-24","2019","05","24","","17.4","","7.0","","12.2","","5.8","","0.0","","","","","","0.0","","","","30","","44",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-05-25","2019","05","25","","12.3","","2.9","","7.6","","10.4","","0.0","","","","","","5.1","","","","3","","39",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-05-26","2019","05","26","","16.7","","0.5","","8.6","","9.4","","0.0","","","","","","0.2","","","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-05-27","2019","05","27","","19.8","","2.8","","11.3","","6.7","","0.0","","","","","","0.0","","","","16","","33",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-05-28","2019","05","28","","22.4","","4.4","","13.4","","4.6","","0.0","","","","","","0.0","","","","","","",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-05-29","2019","05","29","","26.4","","4.9","","15.6","","2.4","","0.0","","","","","","0.0","","","","3","","32",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-05-30","2019","05","30","","24.6","","10.1","","17.3","","0.7","","0.0","","","","","","0.0","","","","33","","48",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-05-31","2019","05","31","","21.8","","9.3","","15.5","","2.5","","0.0","","","","","","0.0","","","","33","","32",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-06-01","2019","06","01","","27.2","","6.5","","16.9","","1.1","","0.0","","","","","","0.0","","","","19","","34",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-06-02","2019","06","02","","25.8","","8.2","","17.0","","1.0","","0.0","","","","","","0.0","","","","1","","39",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-06-03","2019","06","03","","24.5","","11.0","","17.8","","0.2","","0.0","","","","","","0.2","","","","35","","66",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-06-04","2019","06","04","","23.3","","8.0","","15.6","","2.4","","0.0","","","","","","0.0","","","","1","","57",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-06-05","2019","06","05","","22.8","","5.4","","14.1","","3.9","","0.0","","","","","","0.0","","","","16","","40",""
"-114.00","51.11","CALGARY INT'L CS","3031094","2019-06-06","2019","06","06","","18.0","","6.9","","12.4","","5.6","","0.0","","","","","","3.5","","","","35","","45",""
